time,open,high,low,close,ema12,ema26
2026.08.17 19:00,4427.64,4428.83,4422.41,4424.24,4406.3170634000,4394.9708906709
2026.08.17 20:00,4424.24,4426.13,4411.20,4413.68,4407.4498228769,4396.3567506212
2026.08.17 21:00,4413.69,4416.13,4398.14,4406.62,4407.3221578189,4397.1169913159
2026.08.17 22:00,4406.60,4420.96,4400.23,4419.68,4409.2233643083,4398.7883252925
2026.08.18 01:00,4406.60,4418.43,4405.48,4411.74,4409.6105390301,4399.7477086042
2026.08.18 02:00,4411.91,4426.03,4409.66,4425.93,4412.1212253332,4401.6871375965
2026.08.18 03:00,4425.92,4434.93,4418.95,4434.64,4415.5856522050,4404.1280903671
2026.08.18 04:00,4434.34,4436.15,4404.07,4407.99,4414.4170903273,4404.4141577473
2026.08.18 05:00,4407.93,4408.13,4394.05,4399.86,4412.1775379693,4404.0768127290
2026.08.18 06:00,4399.85,4404.06,4390.57,4391.75,4409.0348398201,4403.1637154898
2026.08.18 07:00,4391.79,4395.40,4388.76,4393.56,4406.6540952324,4402.4523291572
2026.08.18 08:00,4393.58,4397.46,4385.90,4394.19,4404.7365421198,4401.8403047752
2026.08.18 09:00,4394.19,4400.15,4387.49,4398.77,4403.8186125629,4401.6128747919
2026.08.18 10:00,4398.77,4403.64,4395.43,4395.58,4402.5511337070,4401.1659951777
2026.08.18 11:00,4395.58,4398.60,4386.83,4393.21,4401.1140362136,4400.5766622015
2026.08.18 12:00,4393.23,4394.96,4386.97,4393.29,4399.9103383346,4400.0369094459
2026.08.18 13:00,4393.29,4399.57,4389.63,4397.59,4399.5533632062,4399.8556568943
2026.08.18 14:00,4397.59,4399.04,4388.57,4395.91,4398.9928457899,4399.5633860133
2026.08.18 15:00,4395.91,4400.78,4389.47,4394.18,4398.2524079761,4399.1646166789
2026.08.18 16:00,4394.15,4406.56,4376.11,4394.46,4397.6689605951,4398.8161265546
2026.08.18 17:00,4394.46,4406.53,4363.72,4366.58,4392.8860435805,4396.4282653283
2026.08.18 18:00,4366.54,4377.60,4351.50,4364.74,4388.5558830296,4394.0809864151
2026.08.18 19:00,4364.87,4371.61,4362.99,4363.79,4384.7457471789,4391.8372096436
2026.08.18 20:00,4363.63,4368.27,4356.58,4357.68,4380.5817860745,4389.3070459663
2026.08.18 21:00,4357.68,4360.98,4352.63,4354.20,4376.5230497553,4386.7065240429
2026.08.18 22:00,4354.24,4358.64,4338.24,4345.50,4371.7502728699,4383.6541889286
2026.08.19 01:00,4316.78,4343.31,4314.80,4333.74,4365.9025385822,4379.9568416005
2026.08.19 02:00,4333.74,4338.23,4327.01,4332.92,4360.8283018773,4376.4726311116
2026.08.19 03:00,4332.77,4347.09,4331.49,4337.91,4357.3024092808,4373.6161399182
2026.08.19 04:00,4337.79,4357.52,4324.46,4356.44,4357.1697309299,4372.3438332576
2026.08.19 05:00,4356.41,4362.00,4351.44,4354.92,4356.8236184791,4371.0531789422
2026.08.19 06:00,4354.92,4360.33,4351.78,4354.96,4356.5369079439,4369.8610916131
2026.08.19 07:00,4355.12,4356.21,4343.77,4348.46,4355.2943067217,4368.2758255677
2026.08.19 08:00,4348.44,4350.67,4335.02,4335.58,4352.2613364569,4365.8539125627
2026.08.19 09:00,4335.60,4349.38,4335.21,4349.02,4351.7626693096,4364.6069560766
2026.08.19 10:00,4349.05,4363.17,4347.40,4354.78,4352.2268740312,4363.8790334042
2026.08.19 11:00,4354.81,4363.14,4350.99,4355.60,4352.7458164880,4363.2657716706
2026.08.19 12:00,4355.58,4361.94,4353.40,4361.88,4354.1510754898,4363.1631219172
2026.08.19 13:00,4362.03,4369.49,4359.53,4367.20,4356.1586023375,4363.4621499233
2026.08.19 14:00,4367.27,4374.03,4363.15,4364.59,4357.4557404395,4363.5456943735
2026.08.19 15:00,4364.57,4442.38,4361.97,4438.64,4369.9456265257,4369.1082355310
2026.08.19 16:00,4438.64,4466.19,4424.10,4459.65,4383.7462993679,4375.8150328991
2026.08.19 17:00,4459.49,4498.49,4455.04,4488.01,4399.7868686959,4384.1257712028
2026.08.19 18:00,4487.97,4494.37,4478.09,4493.77,4414.2458119735,4392.2475659286
2026.08.19 19:00,4493.76,4499.34,4490.54,4493.34,4426.4141485929,4399.7358943783
2026.08.19 20:00,4493.53,4499.07,4484.26,4486.92,4435.7227411171,4406.1939762762
2026.08.19 21:00,4486.99,4496.76,4472.16,4494.97,4444.8377040222,4412.7699780335
2026.08.19 22:00,4494.96,4512.06,4494.27,4511.08,4455.0288264803,4420.0522018829
2026.08.20 01:00,4489.31,4526.85,4489.31,4518.81,4464.8413147141,4427.3675943360
2026.08.20 02:00,4518.82,4523.58,4511.28,4511.69,4472.0488047581,4433.6136984593
2026.08.20 03:00,4511.71,4521.13,4503.73,4504.58,4477.0536040261,4438.8704615364
2026.08.20 04:00,4504.51,4510.12,4484.39,4489.70,4478.9992034067,4442.6356125337
2026.08.20 05:00,4489.75,4499.63,4488.53,4490.65,4480.7916336518,4446.1922338275
2026.08.20 06:00,4490.65,4501.19,4488.04,4498.81,4483.5636900131,4450.0898461365
2026.08.20 07:00,4498.81,4499.20,4486.20,4488.42,4484.3108146264,4452.9291167931
2026.08.20 08:00,4488.46,4493.92,4477.76,4481.27,4483.8429969916,4455.0284414751
2026.08.20 09:00,4481.22,4495.83,4479.96,4493.76,4485.3686897621,4457.8974458103
2026.08.20 10:00,4493.61,4494.27,4483.42,4490.86,4486.2135067218,4460.3391164910
2026.08.20 11:00,4490.83,4498.70,4487.06,4489.24,4486.6791210723,4462.4799226768
2026.08.20 12:00,4489.28,4494.12,4481.76,4482.58,4486.0484870612,4463.9688172934
2026.08.20 13:00,4482.55,4494.77,4480.68,4490.12,4486.6748736671,4465.9059419383
2026.08.20 14:00,4490.10,4491.25,4465.39,4466.98,4483.6448931030,4465.9855017947
2026.08.20 15:00,4467.04,4477.10,4450.54,4474.75,4482.2764480102,4466.6347238840
2026.08.20 16:00,4474.79,4489.33,4469.28,4481.56,4482.1662252394,4467.7402998926
2026.08.20 17:00,4481.58,4516.24,4480.79,4515.89,4487.3544982795,4471.3069443450
2026.08.20 18:00,4515.90,4540.91,4509.84,4521.65,4492.6307293134,4475.0360595787
2026.08.20 19:00,4521.62,4524.77,4502.63,4509.90,4495.2875401883,4477.6185736840
2026.08.20 20:00,4510.02,4520.46,4507.68,4519.91,4499.0756109285,4480.7512719296
2026.08.20 21:00,4519.92,4525.29,4508.24,4522.02,4502.6055169395,4483.8082147496
2026.08.20 22:00,4522.02,4532.16,4518.05,4528.48,4506.5862066411,4487.1172358793
2026.08.21 01:00,4508.30,4524.42,4508.30,4524.04,4509.2714056194,4489.8522554438
2026.08.21 02:00,4523.92,4532.66,4520.64,4526.19,4511.8742662934,4492.5439402257
2026.08.21 03:00,4526.19,4527.33,4509.64,4510.39,4511.6459176328,4493.8658705794
2026.08.21 04:00,4510.38,4543.53,4508.65,4530.55,4514.5542379970,4496.5832134994
2026.08.21 05:00,4530.44,4542.87,4518.07,4533.69,4517.4982013821,4499.3318643513
2026.08.21 06:00,4533.62,4538.34,4526.60,4535.31,4520.2384780925,4501.9969114364
2026.08.21 07:00,4535.50,4547.93,4535.33,4540.56,4523.3648660783,4504.8534365152
2026.08.21 08:00,4540.51,4556.18,4529.08,4553.56,4528.0102712970,4508.4613301067
2026.08.21 09:00,4553.57,4567.54,4545.47,4560.82,4533.0579218667,4512.3397500988
2026.08.21 10:00,4560.82,4568.02,4558.37,4564.34,4537.8705492718,4516.1916204618
2026.08.21 11:00,4564.46,4584.93,4559.10,4584.10,4544.9827724608,4521.2218707980
2026.08.21 12:00,4584.11,4601.97,4580.29,4582.58,4550.7669613130,4525.7669174055
2026.08.21 13:00,4582.58,4594.04,4577.81,4588.47,4556.5674288033,4530.4115901903
2026.08.21 14:00,4588.40,4604.57,4587.14,4597.06,4562.7970551412,4535.3485094355
2026.08.21 15:00,4597.05,4601.54,4563.36,4577.89,4565.1190466580,4538.4997309588
2026.08.21 16:00,4577.85,4592.93,4573.22,4580.99,4567.5607317875,4541.6471582952
2026.08.21 17:00,4580.90,4603.61,4579.75,4591.51,4571.2452345894,4545.3407021251
2026.08.21 18:00,4591.70,4615.28,4587.12,4614.50,4577.8998138834,4550.4636130788
2026.08.21 19:00,4614.50,4629.13,4608.98,4628.76,4585.7244579013,4556.2633454434
2026.08.21 20:00,4628.84,4632.14,4615.12,4620.45,4591.0668489934,4561.0179124476
2026.08.21 21:00,4620.52,4627.62,4619.45,4624.37,4596.1904106867,4565.7106596737
2026.08.21 22:00,4624.37,4625.49,4615.56,4617.03,4599.3965013503,4569.5120922904
2026.08.24 01:00,4608.10,4623.42,4605.87,4605.94,4600.4031934503,4572.2104558245
2026.08.24 02:00,4606.07,4624.43,4604.47,4623.96,4604.0273175348,4576.0437553930
2026.08.24 03:00,4624.18,4640.80,4594.42,4621.57,4606.7261917603,4579.4160698084
2026.08.24 04:00,4621.67,4637.53,4607.85,4632.08,4610.6267776433,4583.3171016744
2026.08.24 05:00,4631.97,4656.76,4627.41,4643.59,4615.6980426212,4587.7817608096
2026.08.24 06:00,4643.58,4650.12,4633.24,4641.54,4619.6737283718,4591.7638526015
